server_speedup_label,server_speedup,network_speed_label,network_speed,network_stability,split_layer,device_inference_time,edge_inference_time,network_time
x10,10,good,25000,0.05,0,0.0,0.010061296558662189,0.0240797567270348
x50,50,good,25000,0.05,0,0.0,0.0020364121903896147,0.025739358098871158
x50,50,good,25000,0.05,0,0.0,0.0020864172914230776,0.024845734311105802
x25,25,good,25000,0.05,0,0.0,0.004180590489008546,0.02552793907154667
x25,25,good,25000,0.05,0,0.0,0.0040264062724680635,0.026101010179825627
x1,1,good,25000,0.05,23,0.0456956618695495,0.04685887684246199,0.00483223456312109
x50,50,good,25000,0.05,0,0.0,0.0020891692846600677,0.026444540559421366
x100,100,good,25000,0.05,0,0.0,0.0010145916917904255,0.024396780611196822
x50,50,good,25000,0.05,0,0.0,0.002008270087350175,0.025243224914745496
x25,25,good,25000,0.05,0,0.0,0.004123977568561549,0.023626580922502513
x10,10,good,25000,0.05,0,0.0,0.009796838455585799,0.02477469067497029
x1,1,good,25000,0.05,58,0.09929930999943029,0.0,0.0020150930170430193
x25,25,good,25000,0.05,0,0.0,0.004094270942044275,0.02485908361734522
x25,25,good,25000,0.05,0,0.0,0.0041608401746883435,0.025712973660829648
x10,10,good,25000,0.05,0,0.0,0.010048868264206754,0.02405446910195142
x5,5,good,25000,0.05,0,0.0,0.020993802153861478,0.024401034314138335
x100,100,good,25000,0.05,0,0.0,0.001054268751049704,0.026865102707503134
x100,100,good,25000,0.05,0,0.0,0.0010552020826789504,0.02524334802022602
x1,1,good,25000,0.05,33,0.062398894202347156,0.03524630745701638,0.0035053674920883663
x50,50,good,25000,0.05,0,0.0,0.001944529717549482,0.026421071610361842
x10,10,good,25000,0.05,0,0.0,0.010264080443817554,0.025980398438219157
x1,1,good,25000,0.05,52,0.09254022249856732,0.008391892622746021,0.0034378919087698014
x10,10,good,25000,0.05,0,0.0,0.01010547602115117,0.027905743260990934
x25,25,good,25000,0.05,0,0.0,0.003999862966347234,0.02483102269441636
x5,5,good,25000,0.05,0,0.0,0.01948977536394538,0.023889156241419823
x50,50,good,25000,0.05,0,0.0,0.0021384798450110026,0.02491784016164901
x10,10,good,25000,0.05,0,0.0,0.009809110043779148,0.02682483778090873
x10,10,good,25000,0.05,0,0.0,0.010586155580257491,0.026362926902342106
x25,25,good,25000,0.05,0,0.0,0.003975854233807419,0.02382193630286479
x2,2,good,25000,0.05,15,0.03710999849212878,0.031231366073726823,0.004903406614357083
x100,100,good,25000,0.05,0,0.0,0.0010044078153625667,0.024550417437746455
x10,10,good,25000,0.05,0,0.0,0.010510696830518265,0.025307188713741977
x1,1,good,25000,0.05,41,0.07107121475182823,0.025069021549907804,0.0034728888471359408
x5,5,good,25000,0.05,0,0.0,0.020688174293163247,0.02442710267933696
x50,50,good,25000,0.05,0,0.0,0.0020223738793293824,0.02520683114454267
x50,50,good,25000,0.05,0,0.0,0.0019447690444371899,0.024678173599968482
x1,1,good,25000,0.05,33,0.06468794721831056,0.034451433621377495,0.0034334230663797044
x50,50,good,25000,0.05,0,0.0,0.001962982767532608,0.025176728292659628
x10,10,good,25000,0.05,0,0.0,0.009827645851976288,0.026516521268204855
x50,50,good,25000,0.05,0,0.0,0.0020376514489626914,0.025085452952998778
x2,2,good,25000,0.05,15,0.03455348405355779,0.03436835161954636,0.004807846887266655
x100,100,good,25000,0.05,0,0.0,0.0010085831791698658,0.024780535235720033
x10,10,good,25000,0.05,0,0.0,0.009657788001039237,0.02610086212519845
x10,10,good,25000,0.05,0,0.0,0.010353811833077426,0.023838555456270158
x2,2,good,25000,0.05,15,0.036171661190211035,0.032688413906291326,0.004852617676557676
x1,1,good,25000,0.05,57,0.09370010293062228,0.0014278421819068998,0.0021686419463670436
x50,50,good,25000,0.05,0,0.0,0.00208094152378557,0.02228183851084653
x5,5,good,25000,0.05,0,0.0,0.020246545872078255,0.023634494640290125
x1,1,good,25000,0.05,58,0.09523738133601972,0.0,0.0020152296634535043
